video_id,comment_id,author_display_name,published_at,text_display,like_count
J5Z7tIq7bco,Ugyqi8ho7Or10X20YSJ4AaABAg,@bu-tanngennki,2025-09-21T04:52:33Z,2万5969回目っと......,0
J5Z7tIq7bco,UgxKywTr-AlJkkql3Ol4AaABAg,@Mr.ゴリラ,2025-09-20T02:41:41Z,2億行ったよー！みんな聞きすぎっすよw 何回聞いたかコメントして）,3
J5Z7tIq7bco,UgzhtjIncYCIEgbQjMl4AaABAg,@Naiko-ruri,2025-09-19T13:49:05Z,吹きます,1
J5Z7tIq7bco,UgzsVsG2BO69bEhGx5d4AaABAg,@amaisiori,2025-09-19T13:34:47Z,なにがたいせつかわすれちだめだかんね,0
J5Z7tIq7bco,UgyGwM-oWUjm8AEM8b14AaABAg,@lindo___,2025-09-19T12:13:47Z,"<a href=""https://www.youtube.com/watch?v=J5Z7tIq7bco&amp;t=253"">4:13</a>",0
J5Z7tIq7bco,UgyEhCzple3YGtnaiYZ4AaABAg,@apinapussengnert8710,2025-09-18T04:32:50Z,I just noticed that the music video for this song has been upscaled to 4k. It really makes watching the MV even more amazing.,3
J5Z7tIq7bco,Ugzqm7zX-81aw7MsWeN4AaABAg,@crane1916-manu,2025-09-17T16:17:08Z,最高の一言に尽きる,0
J5Z7tIq7bco,Ugw5385gx5kKJMbhzqp4AaABAg,@starate199,2025-09-16T19:27:27Z,アルバム発売からちょっとたって、このタイミングででるの新しい。曲だけで聴く、そのときよりもずっと雰囲気が感じれていいです。,2
J5Z7tIq7bco,UgyMoJ1sr0b4iq8Khsp4AaABAg,@kaminaito3863,2025-09-16T19:05:26Z,玉置浩二がよぎる😊,0
J5Z7tIq7bco,Ugy6shYETTeuqNBltzt4AaABAg,@万博情報局,2025-09-16T08:57:32Z,万博から来た人いないよね😅,3
J5Z7tIq7bco,UgzUefHneTTt2N9eTnJ4AaABAg,@traveler-103,2025-09-15T20:04:43Z,深夜のCMで流れていて気に入って、アルバム買って毎日車で聴いていた。理由もなく、明日を信じることができた学生時代を思い出すなぁ。,2
J5Z7tIq7bco,UgzhD5dE5lS-dlIiHap4AaABAg,@Csjxf,2025-09-15T14:25:29Z,何回聞いても響く曲,1
J5Z7tIq7bco,UgwkqUim3kSgy86Gh3p4AaABAg,@さわやか3組-h6u,2025-09-15T13:48:59Z,当たり前が、普通が、すごい大切に思います。その時は、何も思わず,2
J5Z7tIq7bco,UgyB3_Tmxagm6-H1_SF4AaABAg,@amaisiori,2025-09-15T11:57:26Z,ねえきいてる？,3
J5Z7tIq7bco,UgzC6lkEX2JDASR4mGF4AaABAg,@稲生泰輔,2025-09-14T14:54:10Z,😊まさに神曲‥‥息子が家を出て、帰って来るときは、多少はこんな気持ちになるのかな（笑）,4
J5Z7tIq7bco,Ugwr5RZ20uddL6wKg994AaABAg,@ふぃざr,2025-09-14T07:49:18Z,好き,2
J5Z7tIq7bco,Ugx_JVsbo6j2MMEsDTJ4AaABAg,@招きねこ-d1f,2025-09-14T03:44:56Z,大好きな曲,3
J5Z7tIq7bco,UgwCOaPj95eFhSx4dVB4AaABAg,@yasu.0110day,2025-09-14T03:35:18Z,亡くなった彼女が大好きな曲でした。一昨日3回忌で彼女の両親から手紙を渡されそれを読んだら涙が止まりません…いい思い出をありがとうございます。少しずつでも進めるように頑張ります,3
J5Z7tIq7bco,UgwCVS4Q7GAUKNhvoLN4AaABAg,@暇なので動画を見るフリーザ様,2025-09-14T02:13:34Z,スキマスイッチ、再熱しつつある。<br>頼むから他の人達にもスキマを聴いてほしい,5
J5Z7tIq7bco,Ugxvze1cBxP90-wuecl4AaABAg,@ramune.yu80_08,2025-09-13T16:02:32Z,2曲浮かんだけど「改札の前〜」かな<br>✉️の曲と迷いました 似てるって思うのは私だけ？,2
J5Z7tIq7bco,UgwLE2_LnqkTE5ucyqF4AaABAg,@ruru34,2025-09-13T12:43:39Z,この曲、出たばかりの時はあまり売れてなかったんだよね、でもわたしは大好きで、絶対これから売れるって信じてた。だからうれしい❤,1
J5Z7tIq7bco,Ugyn62L5oM22-Po478d4AaABAg,@amaisiori,2025-09-13T11:17:30Z,ちゃんときいてんの？,0
J5Z7tIq7bco,UgzBk6--UcNeAoCkqFZ4AaABAg,@nya_angel,2025-09-13T05:59:37Z,卒業式思い出して聴きにきた🥲<br>地元離れて限界看護学生してるよ^_^,1
J5Z7tIq7bco,UgxIFkn-y9Ex4yoUm4J4AaABAg,@densetsu1102,2025-09-13T04:28:01Z,この曲は家族にも使えるし恋愛にも使えるからまさにフルスペックの最強曲,2
J5Z7tIq7bco,UgxC95w0abLWl7BLFD54AaABAg,@amaisiori,2025-09-12T12:08:24Z,もう昔に戻れないんかな,1
J5Z7tIq7bco,Ugz0bIw7UEFEm0VWF5p4AaABAg,@紫xyz,2025-09-12T09:57:42Z,まだ聴いてる人たくさんいて嬉しい✨,0
J5Z7tIq7bco,Ugxwbf8iO6GUTo2bN4h4AaABAg,@トクガワ-n1o,2025-09-11T07:47:44Z,オフレコ小泉純一郎で,1
J5Z7tIq7bco,UgyJWwHVivdbj-okP8B4AaABAg,@じゅん-q7p6m,2025-09-11T01:40:56Z,いつか、夢でも出逢える…そう想っています…。どうか…。♥️✨,2
J5Z7tIq7bco,Ugxj6ODV1LQ4OSt9OeN4AaABAg,@じゅん-q7p6m,2025-09-11T01:30:31Z,あの頃の笑顔が１番、可愛いきみへ<br><br>元気にしていますか？,1
